epoch,cpu_temperature,cpu_usage,ram_usage,storage_usage
1735993184,44.303,0.0,9.7,47.20044358806425
1735996785,44.303,0.3,9.7,47.20083908384194
1736000387,48.199,0.5,9.7,47.201247762812216
1736003988,49.66,6.5,10.1,47.20166962497508
1736007590,50.634,1.3,9.7,47.20203875436759
1736011192,52.095,10.5,9.7,47.20247379972305
1736014793,44.303,0.0,9.7,47.20284292911556
1736018395,45.277,0.0,9.7,47.20327797447101
1736021997,50.147,0.7,9.7,47.203673470248695
1736025599,43.329,0.2,9.7,47.204068966026384
1736029200,40.894,0.5,9.7,47.20449082818925
1736032802,39.433,12.1,9.6,47.20488632396694
1736036404,39.433,1.8,9.6,47.205308186129805
1736040005,37.972,0.5,9.6,47.20571686510009
1736043607,39.433,0.5,9.7,47.20612554407036
1736047208,36.998,0.0,9.6,46.90010409448869
1736050810,36.024,0.5,9.7,46.90056550622933
1736054411,35.537,10.8,9.9,46.92819747789706
1736058012,35.537,0.3,9.7,46.928658889637695
1736061613,35.05,0.5,9.7,46.92905438541538
1736065215,35.05,0.5,9.7,46.92947624757825
1736068817,36.511,0.5,9.7,46.92987174335593
1736072418,42.355,0.5,9.7,46.930293605518806
1736076020,46.738,2.5,9.7,46.93068910129649
1736079622,46.251,4.3,9.7,46.93109778026677
1736083224,52.095,0.3,9.6,46.93151964242964
1736086825,52.582,0.5,9.7,46.93191513820732
1736090427,53.069,0.5,9.7,46.93235018356277
1736094028,55.017,0.0,9.7,46.93273249614787
1736097630,54.043,0.0,9.8,46.93316754150333
1736101231,54.53,10.5,9.7,46.93353667089583
1736104833,55.504,0.0,9.7,46.9339585330587
1736108435,55.017,0.0,9.7,46.93439357841416
1736112037,51.608,0.5,9.7,46.93478907419185
1736115638,40.894,0.0,9.8,46.93518456996953
1736119239,38.459,0.0,9.9,46.9361073934508
1736122841,37.972,13.1,9.7,46.93626559176188
1736126442,35.537,0.3,9.7,46.93667427073216
1736130043,35.537,0.0,9.8,46.93706976650984
1736133645,35.05,0.7,9.7,46.9374916286727
1736137247,35.05,0.5,9.7,46.93792667402816
1736140849,34.563,0.0,9.7,46.93829580342067
1736144450,34.563,11.8,9.7,46.93870448239095
1736148051,32.615,0.0,9.7,46.93911316136122
1736151653,33.102,0.7,9.8,46.93950865713891
1736155254,36.511,0.3,9.7,46.93994370249436
1736158856,47.712,0.2,9.8,46.94033919827205
1736162457,50.634,0.0,9.7,46.94074787724233
1736166059,52.582,13.1,9.7,46.94118292259778
1736169661,52.582,1.2,9.7,46.94156523518288
1736173262,50.147,0.0,9.7,46.94198709734575
1736176864,51.608,0.0,9.8,46.942395776316026
1736180466,55.504,0.3,9.7,46.942791272093714
1736640178,40.894,0.2,16.9,50.4326328312119
1736643780,38.946,0.5,16.9,50.43305469337476
1736648580,38.946,3.8,10.3,50.43397751685603
1736652182,36.511,0.2,10.3,50.199171673643214
1736655783,36.998,0.5,10.3,50.199606718998666
1736659385,36.511,0.3,10.3,50.20002858116154
1736662986,36.511,0.0,10.3,50.22742325536266
1736666587,37.485,1.3,10.3,50.22783193433293
1736670189,36.511,5.6,10.2,50.22822743011063
1736673790,36.024,0.2,10.3,50.22868884185125
1736677392,40.894,0.0,10.3,50.22908433762895
1736680993,49.173,0.5,10.3,50.22934800148073
1736684594,49.173,0.0,10.2,50.22957211575476
1736688195,52.582,12.9,10.3,50.229809413221375
1736691797,53.069,0.3,10.2,50.23004671068798
1736695399,50.147,0.0,10.4,50.230270824962005
1736699001,48.199,0.2,10.3,50.23050812242862
1736702603,46.251,0.5,10.2,50.23107499970997
1736706204,46.251,0.5,10.3,50.2312859307914
1736709806,49.66,0.8,10.3,50.23152322825801
1736713408,47.712,5.8,10.4,50.23177370891722
1736717010,44.303,8.2,10.3,50.23198463999865
1736720611,39.92,0.0,10.3,50.23222193746526
1736724213,39.92,0.0,10.3,50.232591066857765
1736727814,37.972,0.3,10.3,50.23298656263546
1736731416,36.998,0.0,10.3,50.23339524160574
1736735018,36.024,2.5,18.3,50.018548751973526
1736738619,34.076,6.6,10.5,50.0193397435289
1736742221,34.076,0.3,10.3,50.01974842249918
1736745823,32.615,0.2,10.3,50.0200911855065
1736749425,33.102,0.3,10.3,50.0204734980916
1736753026,33.589,0.0,10.4,50.0208558106767
1736756627,32.615,0.2,10.3,50.02146223753582
